homolog_group	empirical_pvalue	lean	clade1_proportion_with_og	clade2_proportion_with_og	clade1_median_copy_count	clade2_median_copy_count
OG0001843	1.999980000199998e-05	Focal	0.9043478260869565	0.25	2.0	1
OG0001862	1.999980000199998e-05	Focal	0.8347826086956521	0.19230769230769232	1.0	1.0
OG0001868	1.999980000199998e-05	Focal	0.7739130434782608	0.21153846153846154	1	2
OG0002181	1.999980000199998e-05	Focal	0.7652173913043478	0.23076923076923078	1.0	1.0
OG0002209	1.999980000199998e-05	Focal	0.7391304347826086	0.1346153846153846	2	1
OG0002639	1.999980000199998e-05	Focal	0.7913043478260869	0.09615384615384616	1	1
OG0002665	1.999980000199998e-05	Focal	0.7391304347826086	0.19230769230769232	2	1.0
OG0002732	1.999980000199998e-05	Focal	0.7217391304347827	0.28846153846153844	2	1
OG0002786	1.999980000199998e-05	Focal	0.7652173913043478	0.28846153846153844	2.0	1
OG0002808	1.999980000199998e-05	Focal	0.8869565217391304	0.15384615384615385	2.0	1.5
OG0002867	1.999980000199998e-05	Focal	0.9478260869565217	0.2692307692307692	2	1.0
OG0003038	1.999980000199998e-05	Focal	0.9565217391304348	0.23076923076923078	1.0	1.0
OG0003176	1.999980000199998e-05	Focal	0.7304347826086957	0.17307692307692307	1.0	1
OG0003292	1.999980000199998e-05	Focal	0.8434782608695652	0.23076923076923078	1	1.5
OG0003316	1.999980000199998e-05	Focal	0.7043478260869566	0.19230769230769232	2	1.0
OG0003359	1.999980000199998e-05	Focal	0.8173913043478261	0.21153846153846154	2.0	1
OG0003446	1.999980000199998e-05	Focal	0.7304347826086957	0.11538461538461539	1.5	1.0
OG0003564	1.999980000199998e-05	Focal	0.8260869565217391	0.1346153846153846	2	1
OG0003633	1.999980000199998e-05	Focal	0.8	0.28846153846153844	2.0	1
OG0003700	1.999980000199998e-05	Focal	0.7043478260869566	0.11538461538461539	1	1.0
OG0003710	1.999980000199998e-05	Focal	0.8	0.21153846153846154	1.5	1
OG0003744	1.999980000199998e-05	Focal	0.7652173913043478	0.11538461538461539	2.0	1.5
OG0003788	1.999980000199998e-05	Focal	0.7130434782608696	0.15384615384615385	1.0	1.0
OG0003817	1.999980000199998e-05	Focal	0.8782608695652174	0.15384615384615385	1	1.0
OG0003870	1.999980000199998e-05	Focal	0.991304347826087	0.19230769230769232	1.0	1.0
OG0003896	1.999980000199998e-05	Focal	0.7913043478260869	0.1346153846153846	2	1
OG0003922	1.999980000199998e-05	Focal	0.8260869565217391	0.2692307692307692	1	1.0
OG0003926	1.999980000199998e-05	Focal	0.9130434782608695	0.23076923076923078	1	1.0
OG0003931	1.999980000199998e-05	Focal	0.7217391304347827	0.19230769230769232	2	1.0
OG0003996	1.999980000199998e-05	Focal	0.7478260869565218	0.28846153846153844	2.0	1
OG0004070	1.999980000199998e-05	Focal	0.808695652173913	0.28846153846153844	1	1
OG0004071	1.999980000199998e-05	Focal	0.9652173913043478	0.17307692307692307	1	1
OG0004079	1.999980000199998e-05	Other	0.2782608695652174	0.8461538461538461	1.0	1.0
OG0004150	1.999980000199998e-05	Focal	0.8434782608695652	0.28846153846153844	1	1
OG0004157	1.999980000199998e-05	Focal	0.7217391304347827	0.25	1	1
OG0004174	1.999980000199998e-05	Focal	0.8521739130434782	0.19230769230769232	1.0	1.0
OG0004223	1.999980000199998e-05	Focal	0.7739130434782608	0.17307692307692307	1	1
OG0004233	1.999980000199998e-05	Focal	0.7565217391304347	0.21153846153846154	1	1
OG0004283	1.999980000199998e-05	Focal	0.7217391304347827	0.15384615384615385	1	1.0
OG0004312	1.999980000199998e-05	Other	0.2956521739130435	0.8269230769230769	1.0	1
OG0004327	1.999980000199998e-05	Focal	0.8347826086956521	0.2692307692307692	1.0	1.0
OG0004355	1.999980000199998e-05	Focal	0.8956521739130435	0.23076923076923078	1	1.0
OG0004393	1.999980000199998e-05	Focal	0.7652173913043478	0.28846153846153844	1.0	1
OG0004394	1.999980000199998e-05	Focal	0.8260869565217391	0.11538461538461539	1	1.0
OG0004416	1.999980000199998e-05	Focal	0.7913043478260869	0.09615384615384616	2	1
OG0004447	1.999980000199998e-05	Focal	0.8695652173913043	0.23076923076923078	1.0	1.0
OG0004467	1.999980000199998e-05	Focal	0.8434782608695652	0.21153846153846154	1	1
OG0004469	1.999980000199998e-05	Focal	0.7478260869565218	0.28846153846153844	1.0	1
OG0004556	1.999980000199998e-05	Focal	0.7565217391304347	0.07692307692307693	1	1.0
OG0004584	1.999980000199998e-05	Focal	0.8	0.11538461538461539	1.0	1.0
OG0004621	1.999980000199998e-05	Focal	0.8695652173913043	0.09615384615384616	1.0	1
OG0004647	1.999980000199998e-05	Focal	0.808695652173913	0.1346153846153846	1	1
OG0004658	1.999980000199998e-05	Focal	0.7217391304347827	0.038461538461538464	1	1.0
OG0004671	1.999980000199998e-05	Focal	0.7478260869565218	0.15384615384615385	1.0	1.0
OG0004693	1.999980000199998e-05	Other	0.28695652173913044	0.8653846153846154	1	1
OG0004711	1.999980000199998e-05	Focal	0.7478260869565218	0.21153846153846154	1.0	1
OG0004732	1.999980000199998e-05	Focal	0.7913043478260869	0.21153846153846154	1	1
OG0004747	1.999980000199998e-05	Focal	0.7565217391304347	0.28846153846153844	1	1
OG0004750	1.999980000199998e-05	Focal	0.8521739130434782	0.19230769230769232	1.0	1.0
OG0004762	1.999980000199998e-05	Focal	0.8260869565217391	0.21153846153846154	1	1
OG0004766	1.999980000199998e-05	Focal	0.7130434782608696	0.09615384615384616	1.0	1
OG0004772	1.999980000199998e-05	Focal	0.7130434782608696	0.1346153846153846	1.0	1
OG0004825	1.999980000199998e-05	Focal	0.8347826086956521	0.07692307692307693	1.0	1.0
OG0004894	1.999980000199998e-05	Focal	0.7739130434782608	0.23076923076923078	1	1.0
OG0004902	1.999980000199998e-05	Focal	0.7217391304347827	0.25	1	1
OG0004914	1.999980000199998e-05	Focal	0.8434782608695652	0.25	1	1
OG0005002	1.999980000199998e-05	Other	0.22608695652173913	0.7692307692307693	1.0	1.0
OG0005101	1.999980000199998e-05	Focal	0.7739130434782608	0.28846153846153844	1	1
OG0005182	1.999980000199998e-05	Focal	0.7043478260869566	0.1346153846153846	1	1
OG0005211	1.999980000199998e-05	Focal	0.7130434782608696	0.21153846153846154	1.0	1
OG0005227	1.999980000199998e-05	Focal	0.8782608695652174	0.1346153846153846	1	1
OG0005261	1.999980000199998e-05	Focal	0.8434782608695652	0.15384615384615385	1	1.0
OG0005335	1.999980000199998e-05	Focal	0.7565217391304347	0.11538461538461539	1	1.0
OG0005440	1.999980000199998e-05	Focal	0.7130434782608696	0.09615384615384616	1.0	1
OG0005578	1.999980000199998e-05	Focal	0.782608695652174	0.09615384615384616	1.0	1
OG0005916	1.999980000199998e-05	Focal	0.7043478260869566	0.038461538461538464	1	1.0
OG0006296	1.999980000199998e-05	Other	0.26956521739130435	0.8269230769230769	1	1
OG0006388	1.999980000199998e-05	Other	0.2956521739130435	0.7692307692307693	1.0	1.0
