GCA	Version_Match	TaxID
GCA_003706805	True	45603
GCA_003788565	True	1160509
GCA_003788615	True	1051890
GCA_003795315	True	356882
GCA_003833135	True	118614
GCA_003868215	True	1671306
GCA_003790465	True	1392247
GCA_900618795	True	1986089
GCA_003988815	True	163795
GCA_003988795	True	2283848
GCA_003990805	True	264951
GCA_003988945	True	1603990
GCA_004000055	True	97331
GCA_004014935	True	44092
GCA_004155245	True	475927
GCA_004216415	True	2518135
GCA_004335205	True	487627
GCA_006536005	True	109895
GCA_006535965	True	117820
GCA_006535975	True	246404
GCA_006535955	True	286115
GCA_006535985	True	1806994
GCA_000760515	True	1485682
GCA_017911155	True	278681
GCA_025399195	True	1314678
GCA_025399175	True	109894
GCA_025399235	True	1314798
GCA_025201845	True	61414
GCA_025201725	True	1882861
GCA_025449115	True	64509
GCA_025435555	True	1907226
GCA_025201865	True	304332
GCA_025399215	True	382532
GCA_025526995	True	109895
GCA_025558075	True	109897
GCA_025558095	True	82268
GCA_025526955	True	382530
GCA_025526915	True	281842
GCA_025526935	True	109936
GCA_025602905	True	1117335
GCA_025602895	True	110093
GCA_025603075	True	1314799
GCA_025349905	True	64508
GCA_025526975	True	1396493
GCA_025602915	True	1500003
GCA_025786725	True	1851187
GCA_025765595	True	110081
GCA_025765615	True	2211651
GCA_002006685	True	1357716
GCA_026954515	True	1604274
GCA_026937265	True	945690
GCA_026955015	True	2732417
GCA_027603065	True	109894
GCA_027600645	True	2732418
GCA_027604185	True	261099
GCA_027604365	True	2784343
GCA_027604465	True	2724216
GCA_027604685	True	109889
GCA_027596075	True	64517
GCA_027596035	True	1396496
GCA_027596135	True	64517
GCA_027596195	True	2724200
GCA_027600685	True	109894
GCA_027602005	True	1134077
GCA_027600675	True	261098
GCA_027602705	True	109894
GCA_027597005	True	1352834
GCA_027603945	True	2724204
GCA_027604005	True	1774096
GCA_027604505	True	2725673
GCA_027604705	True	64504
GCA_027596065	True	2723227
GCA_027601485	True	109894
GCA_027596175	True	2724196
GCA_027603645	True	2724198
GCA_027603655	True	109932
GCA_027604085	True	4814
GCA_027604245	True	2724207
GCA_027604305	True	2786947
GCA_027604405	True	2724210
GCA_027604645	True	64505
GCA_027604745	True	4814
GCA_027595885	True	2786946
GCA_027596845	True	2654861
GCA_027596945	True	109957
GCA_027600665	True	109884
GCA_027604065	True	447962
GCA_027604105	True	4814
GCA_027604165	True	4814
GCA_027604345	True	2724215
GCA_027604545	True	2724211
GCA_027604605	True	2735257
GCA_027604625	True	2724214
GCA_027604665	True	2732419
GCA_027604725	True	109932
GCA_003705835	False	1337062
GCA_003706095	False	169509
GCA_003707925	False	45509
