Family	ClassGroup	Class	InPhylo	WithOrWithout	Proportion	ProportionWith	TotalGenomes
JAJZTN01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
JAJZTN01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAJZTN01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
CAJCIY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
CAJCIY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
CAJCIY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JAKEEW01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
JAKEEW01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAKEEW01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
Hakubanellaceae	5Other Actinomycetota	Humimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	4
Hakubanellaceae	5Other Actinomycetota	Humimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	4
Hakubanellaceae	5Other Actinomycetota	Humimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	4
JAENWW01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	7With	0.0	0.0	1
JAENWW01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAENWW01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
JAFAQI01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	2
JAFAQI01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	2
JAFAQI01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	2
JACDEA01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	2
JACDEA01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	2
JACDEA01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	2
SURF-47	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	7With	0.0	0.0	1
SURF-47	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	6Without	1.0	0.0	1
SURF-47	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
JAHEXQ01	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	7With	0.0	0.0	1
JAHEXQ01	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAHEXQ01	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
Euzebyaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	3
Euzebyaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	3
Euzebyaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	3
QHCE01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	2
QHCE01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	2
QHCE01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	2
JAJYXR01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	2
JAJYXR01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	2
JAJYXR01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	2
JAENZW01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	7With	0.0	0.0	1
JAENZW01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	6Without	1.0	0.0	1
