og	og_after	support	og_direction	og_after_direction
OG_67	OG_319	1	+	+
OG_67	OG_303	3	+	+
OG_67	OG_338	1	+	+
OG_67	OG_186	2	+	+
OG_67	OG_282	1	+	+
OG_67	OG_183	1	+	+
OG_181	OG_303	19	+	+
OG_181	OG_332	1	+	+
OG_181	OG_10	2	+	+
OG_181	OG_233	1	+	+
OG_181	OG_77	8	+	+
OG_181	OG_171	3	+	+
OG_181	OG_186	4	+	+
OG_181	OG_75	3	+	+
OG_181	OG_234	1	+	+
OG_303	OG_11	9	+	+
OG_303	OG_234	9	+	+
OG_303	OG_349	1	+	+
OG_303	OG_317	5	+	+
OG_303	OG_619	1	+	-
OG_303	OG_172	3	+	+
OG_303	OG_68	3	+	+
OG_303	OG_165	3	+	+
OG_303	OG_280	3	+	+
OG_303	OG_269	1	+	+
OG_303	OG_87	1	+	+
OG_11	OG_165	8	+	+
OG_11	OG_12	4	+	+
OG_11	OG_174	1	+	+
OG_11	OG_317	1	+	+
OG_165	OG_87	26	+	+
OG_165	OG_183	1	+	+
OG_165	OG_235	1	+	+
OG_165	OG_317	1	+	+
OG_165	OG_84	3	+	+
OG_165	OG_435	1	+	+
OG_165	OG_179	1	+	+
OG_165	OG_328	2	+	+
OG_165	OG_243	1	+	+
OG_165	OG_186	1	+	+
OG_87	OG_167	23	+	+
OG_87	OG_84	5	+	+
OG_87	OG_243	9	+	+
OG_87	OG_175	1	+	+
OG_87	OG_317	3	+	+
OG_167	OG_317	20	+	+
OG_167	OG_325	1	+	+
OG_167	OG_220	1	+	+
OG_167	OG_184	7	+	+
OG_167	OG_623	1	+	+
OG_167	OG_151	3	+	+
OG_167	OG_2	2	+	+
OG_167	OG_243	4	+	+
OG_167	OG_331	1	+	+
OG_167	OG_241	1	+	+
OG_317	OG_169	20	+	+
OG_317	OG_292	2	+	+
OG_317	OG_329	6	+	+
OG_317	OG_250	2	+	+
OG_317	OG_299	1	+	+
OG_317	OG_241	1	+	+
OG_317	OG_295	2	+	+
OG_317	OG_304	1	+	+
OG_317	OG_186	2	+	+
OG_169	OG_295	21	+	+
OG_169	OG_170	3	+	+
OG_169	OG_216	2	+	+
OG_169	OG_249	2	+	+
OG_169	OG_304	2	+	+
OG_169	OG_71	2	+	+
OG_169	OG_85	1	+	+
OG_169	OG_92	1	+	+
OG_169	OG_248	2	+	+
OG_169	OG_287	1	+	+
OG_169	OG_299	2	+	+
OG_169	OG_77	1	+	+
OG_169	OG_302	1	+	+
OG_295	OG_250	3	+	+
OG_295	OG_176	7	+	+
OG_295	OG_329	17	+	+
OG_295	OG_188	1	+	+
OG_295	OG_163	7	+	+
OG_295	OG_292	2	+	+
OG_295	OG_241	1	+	+
OG_295	OG_440	1	+	+
OG_295	OG_216	1	+	+
OG_250	OG_186	18	+	+
OG_250	OG_225	5	+	+
OG_250	OG_93	3	+	+
OG_250	OG_216	3	+	+
OG_250	OG_67	2	+	+
OG_250	OG_182	2	+	+
OG_250	OG_181	2	+	+
OG_250	OG_450	1	+	+
OG_186	OG_189	35	+	+
OG_186	OG_172	1	+	+
OG_186	OG_12	1	+	+
OG_186	OG_333	1	+	+
OG_186	OG_166	1	+	+
OG_189	OG_280	19	+	+
OG_189	OG_190	3	+	+
OG_189	OG_333	7	+	+
OG_189	OG_424	1	+	+
OG_189	OG_12	6	+	+
OG_189	OG_174	1	+	+
OG_189	OG_327	1	+	+
OG_280	OG_333	19	+	+
OG_280	OG_87	1	+	+
OG_280	OG_218	1	+	+
OG_280	OG_269	13	+	+
OG_280	OG_174	2	+	+
OG_280	OG_12	3	+	+
OG_280	OG_165	1	+	+
OG_280	OG_235	1	+	+
OG_333	OG_284	27	+	+
OG_333	OG_179	8	+	+
OG_333	OG_175	1	+	+
OG_284	OG_193	38	+	+
OG_284	OG_338	1	+	+
OG_193	OG_194	39	+	+
OG_193	OG_505	1	+	-
OG_194	OG_65	15	+	+
OG_194	OG_195	11	+	+
OG_194	OG_152	7	+	+
OG_194	OG_570	1	+	-
OG_194	OG_197	4	+	+
OG_194	OG_210	1	+	-
OG_194	OG_321	2	+	+
OG_194	OG_78	1	+	+
OG_65	OG_197	15	+	+
OG_197	OG_198	41	+	+
OG_197	OG_521	1	+	-
OG_197	OG_173	1	+	+
OG_198	OG_199	41	+	+
OG_198	OG_197	2	+	+
OG_199	OG_64	18	+	+
OG_199	OG_200	22	+	+
OG_199	OG_198	2	+	+
OG_199	OG_173	1	+	+
OG_64	OG_201	36	+	+
OG_64	OG_199	1	+	+
OG_64	OG_208	1	+	+
OG_201	OG_202	30	+	+
OG_201	OG_204	6	+	+
OG_201	OG_64	2	+	+
OG_201	OG_208	1	+	+
OG_201	OG_362	1	+	+
OG_202	OG_203	34	+	+
OG_202	OG_209	5	+	+
OG_202	OG_212	1	+	-
OG_203	OG_204	30	+	+
OG_203	OG_202	6	+	+
OG_203	OG_615	1	+	+
OG_203	OG_62	2	+	+
OG_203	OG_256	1	+	-
OG_204	OG_205	39	+	+
OG_204	OG_547	1	+	-
OG_204	OG_214	2	+	+
OG_204	OG_206	1	+	+
OG_205	OG_206	39	+	+
OG_205	OG_204	3	+	+
OG_206	OG_207	40	+	+
OG_206	OG_205	3	+	+
OG_207	OG_208	40	+	+
OG_207	OG_206	3	+	+
OG_208	OG_209	33	+	+
OG_208	OG_153	5	+	-
OG_208	OG_207	3	+	+
OG_208	OG_197	1	+	+
OG_208	OG_109	1	+	-
OG_209	OG_100	12	+	+
OG_209	OG_211	14	+	-
OG_209	OG_155	5	+	-
OG_209	OG_208	1	+	+
OG_209	OG_199	1	+	+
OG_209	OG_252	2	+	+
OG_209	OG_80	1	+	+
OG_209	OG_61	3	+	-
OG_209	OG_308	1	+	-
OG_209	OG_69	1	+	-
OG_209	OG_473	1	+	+
OG_100	OG_101	12	+	+
OG_101	OG_104	2	+	+
OG_101	OG_102	10	+	+
OG_104	OG_105	12	+	+
OG_104	OG_630	1	+	+
OG_105	OG_106	12	+	+
OG_106	OG_107	11	+	-
OG_106	OG_61	1	+	-
OG_107	OG_61	11	-	-
OG_61	OG_60	18	-	-
OG_61	OG_447	1	-	+
OG_61	OG_35	1	-	-
OG_60	OG_41	9	-	-
OG_60	OG_1	5	-	-
OG_60	OG_54	3	-	+
OG_60	OG_260	1	-	-
OG_60	OG_61	2	-	-
OG_41	OG_109	13	-	-
OG_41	OG_1	3	-	-
OG_109	OG_45	15	-	+
OG_109	OG_111	5	-	-
OG_45	OG_46	15	+	+
OG_45	OG_109	3	+	-
OG_45	OG_44	3	+	+
OG_45	OG_297	2	+	-
OG_46	OG_110	14	+	+
OG_46	OG_45	8	+	+
OG_46	OG_522	1	+	+
OG_46	OG_5	1	+	-
OG_110	OG_111	14	+	-
OG_110	OG_456	1	+	+
OG_111	OG_115	19	-	-
OG_111	OG_7	1	-	-
OG_115	OG_114	19	-	-
OG_114	OG_112	19	-	-
OG_112	OG_116	11	-	+
OG_112	OG_43	8	-	+
OG_116	OG_252	4	+	+
OG_116	OG_117	8	+	+
OG_116	OG_211	2	+	-
OG_252	OG_117	3	+	+
OG_252	OG_535	1	+	+
OG_252	OG_116	2	+	+
OG_117	OG_43	11	+	+
OG_117	OG_546	1	+	-
OG_117	OG_175	1	+	+
OG_43	OG_44	21	+	+
OG_43	OG_42	3	+	+
OG_44	OG_211	19	+	-
OG_44	OG_526	1	+	-
OG_44	OG_43	3	+	+
OG_44	OG_442	1	+	-
OG_211	OG_210	38	-	-
OG_211	OG_230	1	-	+
OG_211	OG_154	1	-	-
OG_210	OG_7	15	-	-
OG_210	OG_212	9	-	-
OG_210	OG_211	2	-	-
OG_210	OG_5	2	-	-
OG_210	OG_69	3	-	-
OG_210	OG_214	1	-	+
OG_210	OG_154	7	-	-
OG_210	OG_38	1	-	-
OG_210	OG_293	1	-	+
OG_7	OG_5	23	-	-
OG_7	OG_571	1	-	-
OG_7	OG_154	2	-	-
OG_7	OG_110	1	-	+
OG_5	OG_212	15	-	-
OG_5	OG_46	5	-	+
OG_5	OG_7	3	-	-
OG_5	OG_245	2	-	+
OG_5	OG_238	1	-	+
OG_212	OG_1	10	-	-
OG_212	OG_213	6	-	+
OG_212	OG_238	5	-	+
OG_212	OG_214	3	-	+
OG_212	OG_201	1	-	+
OG_212	OG_69	3	-	-
OG_212	OG_70	2	-	-
OG_212	OG_376	1	-	+
OG_212	OG_270	3	-	+
OG_1	OG_69	15	-	-
OG_1	OG_70	4	-	-
OG_1	OG_41	4	-	-
OG_1	OG_258	1	-	-
OG_1	OG_40	3	-	+
OG_1	OG_263	1	-	+
OG_1	OG_290	1	-	+
OG_1	OG_211	1	-	-
OG_1	OG_212	1	-	-
OG_69	OG_119	11	-	+
OG_69	OG_38	6	-	-
OG_69	OG_258	2	-	-
OG_69	OG_260	1	-	-
OG_69	OG_70	5	-	-
OG_69	OG_66	2	-	+
OG_69	OG_79	1	-	+
OG_69	end	1	-	+
OG_69	OG_244	1	-	+
OG_119	OG_79	19	+	+
OG_79	OG_120	20	+	+
OG_79	OG_545	1	+	-
OG_79	OG_322	2	+	+
OG_79	OG_380	1	+	-
OG_79	OG_294	2	+	+
OG_79	OG_293	1	+	+
OG_120	OG_66	20	+	+
OG_66	OG_58	22	+	+
OG_58	OG_63	22	+	+
OG_63	OG_488	1	+	+
OG_63	OG_42	11	+	+
OG_63	OG_203	5	+	+
OG_63	OG_38	4	+	-
OG_63	OG_475	1	+	+
OG_488	OG_489	1	+	+
OG_489	OG_492	1	+	-
OG_492	OG_491	1	-	-
OG_491	OG_490	1	-	-
OG_490	OG_493	1	-	-
OG_493	OG_494	1	-	+
OG_494	OG_495	1	+	+
OG_495	OG_42	1	+	+
OG_42	OG_38	11	+	-
OG_42	OG_214	2	+	+
OG_42	OG_154	8	+	-
OG_42	OG_201	1	+	+
OG_42	OG_69	1	+	-
OG_42	OG_79	1	+	+
OG_42	OG_41	3	+	-
OG_42	end	1	+	+
OG_38	OG_214	13	-	+
OG_38	OG_42	10	-	+
OG_214	OG_238	17	+	+
OG_214	OG_215	2	+	+
OG_214	OG_472	1	+	-
OG_214	OG_259	2	+	-
OG_214	OG_606	1	+	+
OG_214	end	7	+	+
OG_214	OG_631	1	+	-
OG_214	OG_204	1	+	+
OG_214	OG_274	4	+	-
OG_214	OG_286	2	+	+
OG_214	OG_289	2	+	-
OG_214	OG_453	1	+	+
OG_238	OG_240	24	+	+
OG_238	OG_261	1	+	+
OG_238	OG_246	2	+	+
OG_238	OG_647	1	+	+
OG_238	OG_214	10	+	+
OG_238	OG_244	1	+	+
OG_240	OG_496	1	+	-
OG_240	OG_244	1	+	+
OG_240	OG_441	1	+	+
OG_240	OG_119	8	+	+
OG_240	OG_238	15	+	+
OG_240	OG_597	1	+	-
OG_240	OG_202	1	+	+
OG_240	OG_123	11	+	+
OG_240	end	1	+	+
OG_240	OG_374	1	+	-
OG_240	OG_464	1	+	-
OG_496	OG_123	1	-	+
OG_123	OG_124	13	+	+
OG_124	OG_125	13	+	+
OG_125	OG_126	13	+	+
OG_126	OG_127	13	+	+
OG_127	OG_128	13	+	+
OG_128	OG_130	13	+	+
OG_130	OG_131	13	+	+
OG_131	OG_132	12	+	+
OG_131	end	1	+	+
OG_132	OG_133	12	+	+
OG_133	OG_134	12	+	+
OG_134	OG_135	12	+	+
OG_135	OG_136	12	+	+
OG_136	OG_137	12	+	+
OG_137	end	11	+	+
OG_137	OG_392	1	+	-
OG_393	OG_394	1	+	+
OG_394	OG_413	1	+	+
OG_413	OG_415	1	+	+
OG_415	OG_417	1	+	+
OG_417	OG_419	1	+	-
OG_419	OG_238	1	-	+
OG_244	OG_245	6	+	+
OG_180	OG_185	13	+	+
OG_180	OG_617	1	+	-
OG_222	OG_416	1	+	+
OG_222	OG_223	14	+	+
OG_416	OG_223	1	+	+
OG_223	OG_224	15	+	+
OG_231	OG_418	1	+	+
OG_231	OG_285	1	+	+
OG_418	OG_232	1	+	+
OG_236	OG_237	37	+	+
OG_236	OG_194	1	+	+
OG_236	OG_229	1	+	+
OG_239	OG_269	1	+	+
OG_239	OG_156	1	+	+
OG_242	OG_280	1	+	+
OG_242	OG_165	2	+	+
OG_242	OG_243	1	+	+
OG_234	OG_314	1	+	+
OG_234	OG_156	9	+	+
OG_234	OG_68	5	+	+
OG_234	OG_280	8	+	+
OG_234	OG_76	1	+	+
OG_234	OG_174	6	+	+
OG_234	OG_172	1	+	+
OG_234	OG_190	1	+	+
OG_234	OG_269	1	+	+
OG_166	OG_169	1	+	+
OG_166	OG_482	1	+	+
OG_171	OG_178	1	+	+
OG_171	OG_333	3	+	+
OG_171	OG_156	1	+	+
OG_171	OG_281	2	+	+
OG_171	OG_280	1	+	+
OG_171	OG_234	1	+	+
OG_171	OG_334	1	+	+
OG_178	OG_395	1	+	+
OG_178	OG_191	1	+	+
OG_395	OG_179	1	+	+
OG_182	OG_165	1	+	+
OG_182	OG_281	1	+	+
OG_182	OG_262	9	+	+
OG_183	OG_184	2	+	+
OG_183	OG_76	1	+	+
OG_184	OG_86	1	+	+
OG_184	OG_2	7	+	+
OG_184	OG_67	1	+	+
OG_184	OG_168	9	+	+
OG_184	OG_315	1	+	+
OG_184	OG_167	1	+	+
OG_184	OG_486	1	+	+
OG_172	OG_283	1	+	+
OG_172	OG_174	10	+	+
OG_172	OG_317	2	+	+
OG_172	OG_165	1	+	+
OG_172	OG_269	3	+	+
OG_172	OG_189	1	+	+
OG_396	OG_187	1	+	+
OG_332	OG_189	1	+	+
OG_332	OG_161	5	+	+
OG_332	OG_162	1	+	+
OG_332	OG_481	1	+	+
OG_332	OG_239	1	+	+
OG_190	OG_191	1	+	+
OG_190	OG_327	1	+	+
OG_190	OG_333	1	+	+
OG_190	OG_487	1	+	+
