comparison	jaccard_index
strep vs. amyco	0.4798206278026906
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.0
strep vs. amyco	0.42410714285714285
strep vs. amyco	0.41964285714285715
strep vs. amyco	0.42410714285714285
strep vs. amyco	0.41409691629955947
strep vs. amyco	0.40869565217391307
strep vs. amyco	0.49473684210526314
strep vs. amyco	0.40772532188841204
strep vs. amyco	0.42410714285714285
strep vs. amyco	0.4260089686098655
strep vs. amyco	0.3799126637554585
strep vs. amyco	0.3964757709251101
strep vs. amyco	0.375
strep vs. amyco	0.37606837606837606
strep vs. amyco	0.4536082474226804
strep vs. amyco	0.3697478991596639
strep vs. amyco	0.3964757709251101
strep vs. amyco	0.39823008849557523
strep vs. amyco	0.3958333333333333
strep vs. amyco	0.3868312757201646
strep vs. amyco	0.3765182186234818
strep vs. amyco	0.4492753623188406
strep vs. amyco	0.376
strep vs. amyco	0.3958333333333333
strep vs. amyco	0.39748953974895396
strep vs. amyco	0.3670886075949367
strep vs. amyco	0.3512396694214876
strep vs. amyco	0.4207920792079208
strep vs. amyco	0.3510204081632653
strep vs. amyco	0.37606837606837606
strep vs. amyco	0.3776824034334764
strep vs. amyco	0.2923076923076923
strep vs. amyco	0.34545454545454546
strep vs. amyco	0.2878787878787879
strep vs. amyco	0.3134920634920635
strep vs. amyco	0.3147410358565737
strep vs. amyco	0.4207920792079208
strep vs. amyco	0.3510204081632653
strep vs. amyco	0.37606837606837606
strep vs. amyco	0.3776824034334764
strep vs. amyco	0.379746835443038
strep vs. amyco	0.40707964601769914
strep vs. amyco	0.4088888888888889
strep vs. amyco	0.3745019920318725
strep vs. amyco	0.376
strep vs. amyco	0.43119266055045874
strep vs. micro	0.33962264150943394
strep vs. micro	0.5114942528735632
strep vs. micro	0.5379746835443038
strep vs. micro	0.3128834355828221
strep vs. micro	0.4603174603174603
strep vs. micro	0.5329341317365269
strep vs. micro	0.4318181818181818
strep vs. micro	0.4409937888198758
strep vs. micro	0.26875
strep vs. micro	0.4095744680851064
strep vs. micro	0.4583333333333333
strep vs. micro	0.5675675675675675
strep vs. micro	0.35333333333333333
strep vs. micro	0.5142857142857142
strep vs. micro	0.5909090909090909
strep vs. micro	0.3614457831325301
strep vs. micro	0.5911602209944752
strep vs. micro	0.6441717791411042
strep vs. micro	0.0
strep vs. micro	0.0
strep vs. micro	0.6305732484076433
amyco vs. amyco	0.620253164556962
amyco vs. amyco	1.0
amyco vs. amyco	0.9609756097560975
amyco vs. amyco	1.0
amyco vs. amyco	0.9466019417475728
amyco vs. amyco	1.0
amyco vs. amyco	0.9473684210526315
amyco vs. amyco	1.0
amyco vs. amyco	0.9339622641509434
amyco vs. amyco	0.7066115702479339
amyco vs. amyco	0.5349794238683128
amyco vs. amyco	0.8783783783783784
amyco vs. amyco	1.0
amyco vs. amyco	0.9950980392156863
amyco vs. amyco	0.620253164556962
amyco vs. amyco	0.6363636363636364
amyco vs. amyco	0.620253164556962
amyco vs. amyco	0.625
amyco vs. amyco	0.620253164556962
amyco vs. amyco	0.6092436974789915
amyco vs. amyco	0.620253164556962
amyco vs. amyco	0.6016597510373444
amyco vs. amyco	0.8009259259259259
amyco vs. amyco	0.7277227722772277
amyco vs. amyco	0.572
amyco vs. amyco	0.620253164556962
amyco vs. amyco	0.6228813559322034
amyco vs. amyco	0.9609756097560975
amyco vs. amyco	1.0
amyco vs. amyco	0.9466019417475728
amyco vs. amyco	1.0
amyco vs. amyco	0.9473684210526315
amyco vs. amyco	1.0
amyco vs. amyco	0.9339622641509434
amyco vs. amyco	0.7066115702479339
amyco vs. amyco	0.5349794238683128
amyco vs. amyco	0.8783783783783784
amyco vs. amyco	1.0
amyco vs. amyco	0.9950980392156863
amyco vs. amyco	0.9609756097560975
amyco vs. amyco	0.9082125603864735
amyco vs. amyco	0.9609756097560975
amyco vs. amyco	0.9095238095238095
amyco vs. amyco	0.9609756097560975
amyco vs. amyco	0.8967136150234741
amyco vs. amyco	0.6748971193415638
amyco vs. amyco	0.542016806722689
amyco vs. amyco	0.8430493273542601
amyco vs. amyco	0.9609756097560975
amyco vs. amyco	0.9560975609756097
amyco vs. amyco	0.9466019417475728
amyco vs. amyco	1.0
amyco vs. amyco	0.9473684210526315
amyco vs. amyco	1.0
amyco vs. amyco	0.9339622641509434
amyco vs. amyco	0.7066115702479339
amyco vs. amyco	0.5349794238683128
amyco vs. amyco	0.8783783783783784
amyco vs. amyco	1.0
amyco vs. amyco	0.9950980392156863
amyco vs. amyco	0.9466019417475728
amyco vs. amyco	0.9230769230769231
amyco vs. amyco	0.9466019417475728
amyco vs. amyco	0.909952606635071
amyco vs. amyco	0.7350427350427351
amyco vs. amyco	0.5574468085106383
amyco vs. amyco	0.8721461187214612
amyco vs. amyco	0.9466019417475728
amyco vs. amyco	0.941747572815534
